商品名称,商品价格,评论数,店铺名,其它信息
努比亚 nubia 红魔3S电竞游戏手机 8GB+128GB 银色风暴 骁龙855Plus UFS3.0 内置风扇 5000mAh大电池 全面屏,2999.00,9700+条评价,努比亚京东自营旗舰店,无
联想Z5s 6GB+64GB 星夜灰 骁龙710AIE 后置AI变焦三摄 6.3英寸水滴屏 渐变玻璃机身 全网通4G 双卡双待,898.00,2.9万+条评价,联想手机京东自营官方旗舰店,无
荣耀20青春版 AMOLED屏幕指纹 4000mAh大电池 20W快充 4800万 手机 4GB+64GB 蓝水翡翠,1289.00,1万+条评价,荣耀京东自营旗舰店,无
小米CC9 3200万美颜自拍 索尼4800万超清三摄 多功能NFC 4030mAh 深蓝星球 6GB+64GB 游戏智能拍照,1499.00,8.1万+条评价,小米京东自营旗舰店,无
黑鲨游戏手机2 Pro 12GB+256GB 电鸣黑 骁龙855Plus UFS3.0 屏幕压感 极速触控 全面屏 双卡双待 全网通4G,3499.00,5.3万+条评价,黑鲨京东自营官方旗舰店,无
【至高优惠200】vivo Z5x 极点全面屏 骁龙710 5000mAh电池 4G全网通手机 幻彩粉 6GB 128GB,1498.00,3.9万+条评价,vivo官方旗舰店,无
华为 HUAWEI nova 5 前置3200万人像超级夜景4800万AI四摄40W超级快充8GB+128GB亮黑色全网通双4G,2599.00,3.4万+条评价,华为京东自营官方旗舰店,无
诺基亚 NOKIA 8110 移动联通4G手机 黑色 直板按键 双卡双待 经典复刻 炫酷滑盖 4G热点备用功能机,399.00,8.3万+条评价,诺基亚手机京东自营旗舰店,无
【至高优惠100】vivo iQOO Neo 855版 33W闪充 全网通4G手机 冰岛极光 6GB 128GB,2298.00,4000+条评价,vivo官方旗舰店,无
【立减200元】OPPO Reno Ace游戏手机高达版 骁龙855P超级闪充opporenoace 星际蓝(8GB+128GB) 官方标配,3199.00,1400+条评价,OPPO酷炫手机专卖店,无
京品手机
华为 HUAWEI Mate 20 Pro 麒麟980芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB极光色全网通版双4G,4199.00,36万+条评价,华为京东自营官方旗舰店,无
OPPO Reno Ace【至高优惠200元】高通骁龙855Plus90Hz电竞屏游戏智能手机闪充 星际蓝8GB+128GB 标配版,3199.00,2600+条评价,OPPO官方直营旗舰店,无
魅族 X8 准旗舰游戏拍照手机 4GB+64GB 亮黑 全网通移动联通电信4G手机 双卡双待,899.00,12万+条评价,魅族京东自营旗舰店,无
努比亚 nubia 红魔3游戏手机 8GB+128GB 玄铁黑 骁龙855 内置风扇 5000mAh大电池 90Hz 全面屏拍照电竞,2699.00,7.4万+条评价,努比亚京东自营旗舰店,无
vivo X27Pro 8GB+256GB大内存 黑珍珠 4800万AI三摄全面屏拍照手机 移动联通电信全网通4G,3298.00,1.9万+条评价,vivo京东自营官方旗舰店,无
Apple 苹果 iPhone 11 手机 黑色 全网通 64GB,5198.00,1.9万+条评价,佳沪手机旗舰店,无
摩托罗拉 Motorola P30 Note 6GB+64GB 墨岩黑 商务长续航全网通手机双卡双待 黑色,899.00,2900+条评价,联想京东自营官方旗舰店,无
荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+64GB 渐变蓝 移动联通电信4G全面屏,1199.00,60万+条评价,荣耀京东自营旗舰店,无
realme Q 4800万超广角四摄 高通骁龙712AIE 20W VOOC闪充 4035mAh大电池 全网通8GB+128GB 幻境白特别版,1598.00,7.3万+条评价,realme京东自营官方旗舰店,无
OPPO A11 5000mAh大电池 AI四摄 视频防抖 4GB+128GB 湖光绿 全网通4G 全面屏拍照游戏智能,1499.00,1500+条评价,OPPO京东自营官方旗舰店,无
华为 HUAWEI nova 5i 后置AI四摄 极点全面屏 前置2400万高清摄像头 8GB+128GB 幻夜黑 全网通双卡双待,1999.00,13万+条评价,华为京东自营官方旗舰店,无
小米红米8A 智能老人手机 深海蓝 全网通4G+64G,699.00,1700+条评价,佳沪手机旗舰店,无
锤子(smartisan) 坚果Pro3 12GB+256GB 松绿 骁龙855PLUS 4800万四摄 UFS3.0 全网通双卡双待 全面屏游戏,3599.00,6600+条评价,坚果手机京东自营旗舰店,无
小辣椒 红辣椒7R 3GB+32GB 渐变黑 6.0英寸 全面屏 3050mAh大电池 全网通4G 双卡双待,499.00,1.7万+条评价,小辣椒手机京东自营官方旗舰店,无
中兴 ZTE Blade 20 Smart孝心版 松石绿 4GB+128GB全网通 高清三摄 4G双卡双待中兴新品老人机智能,999.00,1100+条评价,中兴京东自营官方旗舰店,无
小辣椒 红辣椒9X 8+128GB 星耀蓝 3000mAh大电池 5.86英寸刘海屏 双面玻璃 微信8开 全网通4G 双卡双待,1099.00,900+条评价,小辣椒手机京东自营官方旗舰店,无
联想Z5 Pro 6GB+128GB 陶瓷黑 滑盖全面屏 2400万AI四摄 光电屏下指纹 全网通4G 双卡双待,1349.00,1.4万+条评价,联想手机京东自营官方旗舰店,无
